case_SUMleges_seq,action_code_seq,activityNameEN_seq,case_caseStatus_seq,case_Responsible_actor_seq,concept_name_seq,case_last_phase_seq,case_requestComplete_seq,case_parts_seq,question_seq,case_termName_seq,monitoringResource_seq,org_resource_seq,delta,delta_p,delta_df,duration,duration_df,duration_p,cluster
0,01HOOFD010,registersubmissiondaterequest,G,4901428,ArtificialStartTask/01HOOFD/ArtificialEndTask,Buitenbehandelinggelaten,1,InritUitwegInritUitweg,EMPTY,EMPTY,560894,560872,0/1/2,0,0,3,0,0,1
1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542/1354.2542,01HOOFD010/08AWB450202/01HOOFD0652/06VD010/01HOOFD100/05EIND010/01HOOFD110/08AWB45010/01HOOFD130/09AHI010/01HOOFD375,registersubmissiondaterequest/entersenddateretrievemissingdata/entersenddateprocedureconfirmation/extendprocedureterm/registrerdateofpublishingreceivedrequest/terminateonrequest/treatsubcasescompleteness/termforsupplyingmissingdata/WAWpermitaspect/article34WABOapplies/phaseadviceknown,G/G/G/G/G/G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/08AWB45/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/False/EMPTY/False/EMPTY/EMPTY/False/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925/560925/560925/560925/560925/560464,6/6/6/6/6/6/6/6/2670601/2670601/2670601,0/1/43/6/6/0/0/0/0/1/0/0/14,0/0/0/0/0/0/0/0/1/0/0,0/0/0/0/0/0/0/0/1/0/0,71,1,1,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/05EIND010/06VD010/01HOOFD120/09AHI010/01HOOFD370,registersubmissiondaterequest/terminateonrequest/extendprocedureterm/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted,G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/05EIND/06VD/01HOOFD/09AH/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925,560925/560890/560890/560890/560890/560890,0/1/40/0/0/0/0/9,0/7/0/28/0/0,0/34/0/0/0/0,50,34,35,1
2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476/2302.0476,01HOOFD010/08AWB450202/01HOOFD015/06VD010/01HOOFD100/08AWB45010/01HOOFD130/09AHI010/01HOOFD375/05EIND010/01HOOFD050,registersubmissiondaterequest/entersenddateretrievemissingdata/phaseapplicationreceived/extendprocedureterm/registrerdateofpublishingreceivedrequest/termforsupplyingmissingdata/WAWpermitaspect/article34WABOapplies/phaseadviceknown/terminateonrequest/applicantisstakeholder,G/G/G/G/G/G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/06VD/01HOOFD/08AWB45/01HOOFD/09AH/01HOOFD/05EIND/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/False/EMPTY/EMPTY/False/False/EMPTY/False/True,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/4901428/560925/560925/560925/560925/560925/4901428/560925/560925,2670601/2670601/2670601/2670601/2670601/2670601/2670601/2670601/2670601/2670601/2670601,0/1/41/14/0/0/0/0/0/0/0/0/14,0/0/0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/0/0/0/0,70,0,0,1
111.276/111.276/111.276,01HOOFD010/06VD0202/05EIND020,registersubmissiondaterequest/enterdatedecisionproceduretermextension/enterdateterminationrequestreceived,G/G/G,560872/560872/560872,ArtificialStartTask/01HOOFD/06VD/05EIND/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1,Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY,Termijnterinzageverlenging/Termijnterinzageverlenging/Termijnterinzageverlenging,560872/560872/560872,560872/560890/560890,0/1/48/8/0,0/46/8,0/46/8,57,54,54,1
0/0/0/0/0/0/0/0/0,01HOOFD0302/06VD010/01HOOFD100/05EIND010/01HOOFD120/09AHI010/01HOOFD370/01BB540/01HOOFD790,entersenddateacknowledgement/extendprocedureterm/registrerdateofpublishingreceivedrequest/terminateonrequest/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G/G,560872/560872/560872/560872/560872/560872/560872/560872/560872,ArtificialStartTask/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/EMPTY/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560872/560872/560872/560872/560872/560872/560872/560872/560872,560872/560872/560872/560872/560872/560872/560872/560872/560872,0/1/3/0/10/0/0/0/84/0/0,0/0/0/0/10/0/0/0/0,0/0/0/10/0/0/0/84/0,98,94,10,1
0,01HOOFD010,registersubmissiondaterequest,G,560894,ArtificialStartTask/01HOOFD/ArtificialEndTask,Procedureafgebroken,1,BouwMonument,EMPTY,EMPTY,560872,560912,0/1/6,0,0,7,0,0,1
0/0/0/0/0,01HOOFD010/08AWB450202/01HOOFD110/08AWB45010/05EIND010,registersubmissiondaterequest/entersenddateretrievemissingdata/treatsubcasescompleteness/termforsupplyingmissingdata/terminateonrequest,O/O/O/O/O,4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/08AWB45/01HOOFD/08AWB45/05EIND/ArtificialEndTask,Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken/Procedureafgebroken,1/1/1/1/1,Bouw/Bouw/Bouw/Bouw/Bouw,EMPTY/EMPTY/EMPTY/EMPTY/False,Termijnaanvullendegegevens/Termijnaanvullendegegevens/Termijnaanvullendegegevens/Termijnaanvullendegegevens/Termijnaanvullendegegevens,560912/560912/560912/560912/560912,560912/560890/560890/560890/2670601,0/1/36/19/0/16/0,0/50/-50/50/-50,0/50/0/0/16,72,66,50,1
0/0/0/0/0/0/0/0/0,01HOOFD010/06VD010/01HOOFD100/05EIND010/01HOOFD120/09AHI010/01HOOFD370/01BB540/01HOOFD790,registersubmissiondaterequest/extendprocedureterm/registrerdateofpublishingreceivedrequest/terminateonrequest/subcasescompletenesscompleted/article34WABOapplies/assessmentofcontentcompleted/objectionlodgedagainstdecision/closecase,G/G/G/G/G/G/G/G/G,560925/560925/560925/560925/560925/560925/560925/560925/560925,ArtificialStartTask/01HOOFD/06VD/01HOOFD/05EIND/01HOOFD/09AH/01HOOFD/01BB/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1/1/1/1,Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap/Kap,EMPTY/False/EMPTY/False/EMPTY/False/EMPTY/False/EMPTY,EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY/EMPTY,560925/560925/560925/560925/560925/560925/560925/560925/560925,560912/560912/560912/560912/560912/560912/560912/560872/560872,0/1/20/0/0/0/0/0/60/3/0,0/0/0/0/0/0/0/0/0,0/0/0/0/0/0/0/60/3,84,63,0,1
116.79765/116.79765/116.79765/116.79765/116.79765/116.79765,01HOOFD010/09AHI010/01HOOFD375/05EIND010/06VD010/01HOOFD430,registersubmissiondaterequest/article34WABOapplies/phaseadviceknown/terminateonrequest/extendprocedureterm/askstakeholdersviews,G/G/G/G/G/G,4901428/4901428/4901428/4901428/4901428/4901428,ArtificialStartTask/01HOOFD/09AH/01HOOFD/05EIND/06VD/01HOOFD/ArtificialEndTask,Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend/Vergunningverleend,1/1/1/1/1/1,Sloop/Sloop/Sloop/Sloop/Sloop/Sloop,EMPTY/False/EMPTY/False/False/False,Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit/Termijntotbesluit,560925/560925/560925/560925/560925/560925,560925/560881/560881/560890/560890/560890,0/1/47/0/6/0/0/0,0/36/0/-36/0/36,0/36/0/6/0/0,54,42,36,1
