Vectorsize=100,,5-fold,,,,,Vectorsize=100,,aritmetic,5-fold,,,,Vectorsize=16,,aritmetic,5-fold,,,,Vectorsize=2,,aritmetic,5-fold,,,,Vectorsize=2,,aritmetic,10-fold,,,,Vectorsize=16,,aritmetic,10-fold,,,,
 Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI,, Trace2Vec, Precision, Recall, NMI, F1, RI, , 
 KMeans,"0,152","0,152","0,095","0,152","0,072",, KMeans,"0,26","0,26","0,089","0,26","0,066",, KMeans,"0,11","0,11","0,088","0,11","0,067",, KMeans,"0,192","0,192","0,011","0,192","0,006",, KMeans,"0,165","0,165","0,017","0,165","0,01",, KMeans,"0,284","0,284","0,094","0,284","0,071", , 
 GMM,"0,273","0,273","0,075","0,273","0,053",, GMM,"0,207","0,207","0,074","0,207","0,057",, GMM,"0,186","0,186","0,091","0,186","0,078",, GMM,"0,168","0,168","0,014","0,168","0,006",, GMM,"0,209","0,209","0,021","0,209","0,013",, GMM,"0,191","0,191","0,082","0,191","0,073", , 
 SVM,"0,25","0,25","2,5","0,25",0,, SVM,"0,25","0,25",0,"0,25",0,, SVM,"0,272","0,272","0,063","0,272","0,03",, SVM,"0,249","0,249","0,032","0,249","0,013",, SVM,"0,305","0,305","0,044","0,305","0,041",, SVM,"0,3","0,3","0,071","0,3","0,042", , 
 T2VH,"0,127","0,127","0,081","0,127","0,052",, T2VH,"0,283","0,283","0,087","0,283","0,049",, T2VH,"0,244","0,244","0,075","0,244","0,055",, T2VH,"0,194","0,194","0,011","0,194","0,004",, T2VH,"0,179","0,179","0,017","0,179","0,008",, T2VH,"0,137","0,137","0,078","0,137","0,057", , 
 RandomForest,"0,311","0,311","0,086","0,311","0,071",, RandomForest,"0,316","0,316","0,088","0,316","0,072",, RandomForest,"0,299","0,299","0,074","0,299","0,063",, RandomForest,"0,225","0,225","0,013","0,225","0,011",, RandomForest,"0,263","0,263","0,018","0,263","0,017",, RandomForest,"0,386","0,386","0,095","0,386","0,086", , 
 DecisionTree,"0,289","0,289","0,042","0,289","0,036",, DecisionTree,"0,276","0,276","0,045","0,276","0,038",, DecisionTree,"0,271","0,271","0,037","0,271","0,032",, DecisionTree,"0,225","0,225","0,007","0,225","0,006",, DecisionTree,"0,255","0,255","0,012","0,255","0,011",, DecisionTree,"0,325","0,325","0,048","0,325","0,045", , 
 LogisticRegression,"0,267","0,267","0,108","0,267","0,073",, LogisticRegression,"0,271","0,271","0,102","0,271","0,073",, LogisticRegression,"0,269","0,269","0,09","0,269","0,062",, LogisticRegression,"0,248","0,248","0,037","0,248","0,021",, LogisticRegression,"0,316","0,316","0,036","0,316","0,032",, LogisticRegression,"0,327","0,327","0,086","0,327","0,07", , 
 Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI,, Node2Vec, Precision, Recall, NMI, F1, RI, , 
 KMeans,"0,2","0,2","0,001","0,2",0,, KMeans,"0,198","0,198","0,001","0,198",0,, KMeans,"0,203","0,203","0,001","0,203",0,, KMeans,"0,203","0,203","0,001","0,203",0,, KMeans,"0,204","0,204","0,001","0,204",0,, KMeans,"0,193","0,193",0,"0,193",0, , 
